"train/global_step","SmolLM-14m-Dolma-v0.1-Base-untied-162m-zloss-lr6e4 - _step","SmolLM-14m-Dolma-v0.1-Base-untied-162m-zloss-lr6e4 - _step__MIN","SmolLM-14m-Dolma-v0.1-Base-untied-162m-zloss-lr6e4 - _step__MAX","SmolLM-14m-Dolma-v0.1-Base-untied-162m-zloss-lr6e4 - train/loss","MIN","MAX"
"1721","1720","1720","1720","3.7731","3.7731","3.7731"
"1727","1726","1726","1726","3.7535","3.7535","3.7535"
"1730","1729","1729","1729","3.74","3.74","3.74"
"1738","1737","1737","1737","3.7484","3.7484","3.7484"
"1743","1742","1742","1742","3.7658","3.7658","3.7658"
"1755","1754","1754","1754","3.7114","3.7114","3.7114"
"1763","1762","1762","1762","3.7818","3.7818","3.7818"
"1767","1766","1766","1766","3.7462","3.7462","3.7462"
"1784","1783","1783","1783","3.7413","3.7413","3.7413"
"1826","1825","1825","1825","3.7367","3.7367","3.7367"
"1830","1829","1829","1829","3.73","3.73","3.73"
"1833","1832","1832","1832","3.7506","3.7506","3.7506"
"1844","1843","1843","1843","3.7028","3.7028","3.7028"
"1845","1844","1844","1844","3.706","3.706","3.706"
"1862","1861","1861","1861","3.6866","3.6866","3.6866"
"1867","1866","1866","1866","3.701","3.701","3.701"
"1879","1878","1878","1878","3.6885","3.6885","3.6885"
"1883","1882","1882","1882","3.7007","3.7007","3.7007"
"1885","1884","1884","1884","3.6872","3.6872","3.6872"
"1897","1896","1896","1896","3.7092","3.7092","3.7092"
"1918","1917","1917","1917","3.6849","3.6849","3.6849"
"1922","1921","1921","1921","3.6998","3.6998","3.6998"
"1930","1929","1929","1929","3.7006","3.7006","3.7006"
"1954","1953","1953","1953","3.6975","3.6975","3.6975"
"1967","1966","1966","1966","3.653","3.653","3.653"
"1971","1970","1970","1970","3.661","3.661","3.661"
"1973","1972","1972","1972","3.6489","3.6489","3.6489"
"2001","2000","2000","2000","3.6762","3.6762","3.6762"
"2002","2001","2001","2001","3.671","3.671","3.671"
"2010","2009","2009","2009","3.6765","3.6765","3.6765"
"2013","2012","2012","2012","3.6753","3.6753","3.6753"
"2029","2028","2028","2028","3.6734","3.6734","3.6734"
"2066","2065","2065","2065","3.6505","3.6505","3.6505"
"2076","2075","2075","2075","3.663","3.663","3.663"
"2083","2082","2082","2082","3.6446","3.6446","3.6446"
"2098","2097","2097","2097","3.6576","3.6576","3.6576"
"2100","2099","2099","2099","3.6862","3.6862","3.6862"
"2115","2114","2114","2114","7.3082","7.3082","7.3082"
"2123","2122","2122","2122","7.8535","7.8535","7.8535"
"2161","2160","2160","2160","5.8947","5.8947","5.8947"
"2163","2162","2162","2162","5.8949","5.8949","5.8949"
"2165","2164","2164","2164","5.8471","5.8471","5.8471"
"2166","2165","2165","2165","5.8136","5.8136","5.8136"
"2174","2173","2173","2173","5.6394","5.6394","5.6394"
"2177","2176","2176","2176","5.5944","5.5944","5.5944"
"2192","2191","2191","2191","5.2898","5.2898","5.2898"
"2236","2235","2235","2235","4.5343","4.5343","4.5343"
"2243","2242","2242","2242","4.4807","4.4807","4.4807"
"2267","2266","2266","2266","4.3268","4.3268","4.3268"
"2268","2267","2267","2267","4.3148","4.3148","4.3148"
"2297","2296","2296","2296","4.0895","4.0895","4.0895"
"2312","2311","2311","2311","4.0362","4.0362","4.0362"
"2327","2326","2326","2326","4.2576","4.2576","4.2576"
"2351","2350","2350","2350","4.04","4.04","4.04"
"2361","2360","2360","2360","3.9843","3.9843","3.9843"
"2362","2361","2361","2361","3.9738","3.9738","3.9738"
"2369","2368","2368","2368","3.944","3.944","3.944"
"2391","2390","2390","2390","3.9105","3.9105","3.9105"
"2400","2399","2399","2399","3.8866","3.8866","3.8866"
