"train/global_step","SmolLM-14m-Dolma-v0.1-Base-tied-123m-zloss-lr6e4 - _step","SmolLM-14m-Dolma-v0.1-Base-tied-123m-zloss-lr6e4 - _step__MIN","SmolLM-14m-Dolma-v0.1-Base-tied-123m-zloss-lr6e4 - _step__MAX","SmolLM-14m-Dolma-v0.1-Base-tied-123m-zloss-lr6e4 - train/loss","MIN","MAX"
"4602","4601","4601","4601","3.6899","3.6899","3.6899"
"4608","4607","4607","4607","3.66","3.66","3.66"
"4628","4627","4627","4627","3.699","3.699","3.699"
"4633","4632","4632","4632","3.6683","3.6683","3.6683"
"4635","4634","4634","4634","3.6749","3.6749","3.6749"
"4651","4650","4650","4650","3.6614","3.6614","3.6614"
"4657","4656","4656","4656","3.6764","3.6764","3.6764"
"4682","4681","4681","4681","3.6498","3.6498","3.6498"
"4690","4689","4689","4689","3.6207","3.6207","3.6207"
"4712","4711","4711","4711","3.6255","3.6255","3.6255"
"4716","4715","4715","4715","3.6311","3.6311","3.6311"
"4718","4717","4717","4717","3.6108","3.6108","3.6108"
"4725","4724","4724","4724","3.6469","3.6469","3.6469"
"4744","4743","4743","4743","3.6077","3.6077","3.6077"
"4788","4787","4787","4787","3.623","3.623","3.623"
"4813","4812","4812","4812","3.5976","3.5976","3.5976"
