"train/global_step","SmolLM-14m-Dolma-v0.1-Base-tied-123m-lr-6e4 - _step","SmolLM-14m-Dolma-v0.1-Base-tied-123m-lr-6e4 - _step__MIN","SmolLM-14m-Dolma-v0.1-Base-tied-123m-lr-6e4 - _step__MAX","SmolLM-14m-Dolma-v0.1-Base-tied-123m-lr-6e4 - train/loss","MIN","MAX"
"2117","2116","2116","2116","3.9595","3.9595","3.9595"
"2131","2130","2130","2130","3.957","3.957","3.957"
"2176","2175","2175","2175","3.9578","3.9578","3.9578"
"2200","2199","2199","2199","4.2142","4.2142","4.2142"
"2204","2203","2203","2203","4.1664","4.1664","4.1664"
"2208","2207","2207","2207","4.0762","4.0762","4.0762"
"2209","2208","2208","2208","4.0806","4.0806","4.0806"
"2211","2210","2210","2210","4.0544","4.0544","4.0544"
"2212","2211","2211","2211","4.0449","4.0449","4.0449"
"2220","2219","2219","2219","3.9972","3.9972","3.9972"
"2223","2222","2222","2222","3.9871","3.9871","3.9871"
"2249","2248","2248","2248","3.9071","3.9071","3.9071"
"2256","2255","2255","2255","3.8842","3.8842","3.8842"
"2257","2256","2256","2256","3.9017","3.9017","3.9017"
"2264","2263","2263","2263","3.9124","3.9124","3.9124"
"2278","2277","2277","2277","3.8881","3.8881","3.8881"
"2302","2301","2301","2301","3.8625","3.8625","3.8625"
"2312","2311","2311","2311","3.8448","3.8448","3.8448"
"2313","2312","2312","2312","3.8414","3.8414","3.8414"
"2329","2328","2328","2328","3.8494","3.8494","3.8494"
"2333","2332","2332","2332","3.853","3.853","3.853"
"2335","2334","2334","2334","3.8692","3.8692","3.8692"
"2344","2343","2343","2343","3.8377","3.8377","3.8377"
"2348","2347","2347","2347","3.8292","3.8292","3.8292"
"2349","2348","2348","2348","3.8456","3.8456","3.8456"
"2352","2351","2351","2351","3.8074","3.8074","3.8074"
"2354","2353","2353","2353","3.8444","3.8444","3.8444"
"2357","2356","2356","2356","3.8226","3.8226","3.8226"
"2376","2375","2375","2375","3.8461","3.8461","3.8461"
"2379","2378","2378","2378","3.8117","3.8117","3.8117"
"2385","2384","2384","2384","3.823","3.823","3.823"
"2417","2416","2416","2416","3.8178","3.8178","3.8178"
"2419","2418","2418","2418","3.8038","3.8038","3.8038"
"2424","2423","2423","2423","3.8196","3.8196","3.8196"
"2483","2482","2482","2482","3.7471","3.7471","3.7471"
"2488","2487","2487","2487","3.7563","3.7563","3.7563"
"2521","2520","2520","2520","3.7532","3.7532","3.7532"
"2542","2541","2541","2541","3.7334","3.7334","3.7334"
"2543","2542","2542","2542","3.7606","3.7606","3.7606"
"2565","2564","2564","2564","3.7342","3.7342","3.7342"
"2567","2566","2566","2566","3.7561","3.7561","3.7561"
"2584","2583","2583","2583","3.7446","3.7446","3.7446"
"2591","2590","2590","2590","3.6869","3.6869","3.6869"
"2602","2601","2601","2601","3.729","3.729","3.729"
"2605","2604","2604","2604","3.729","3.729","3.729"
"2613","2612","2612","2612","3.7312","3.7312","3.7312"
"2618","2617","2617","2617","3.7329","3.7329","3.7329"
"2644","2643","2643","2643","3.7204","3.7204","3.7204"
"2647","2646","2646","2646","3.7242","3.7242","3.7242"
"2652","2651","2651","2651","3.7484","3.7484","3.7484"
"2655","2654","2654","2654","3.7155","3.7155","3.7155"
"2658","2657","2657","2657","3.7235","3.7235","3.7235"
"2665","2664","2664","2664","3.7429","3.7429","3.7429"
"2671","2670","2670","2670","3.7202","3.7202","3.7202"
"2676","2675","2675","2675","3.6999","3.6999","3.6999"
"2684","2683","2683","2683","3.7073","3.7073","3.7073"
"2685","2684","2684","2684","3.7131","3.7131","3.7131"
"2699","2698","2698","2698","3.7114","3.7114","3.7114"
"2703","2702","2702","2702","3.7233","3.7233","3.7233"
"2715","2714","2714","2714","3.6787","3.6787","3.6787"
"2726","2725","2725","2725","3.6607","3.6607","3.6607"
"2729","2728","2728","2728","3.7146","3.7146","3.7146"
"2735","2734","2734","2734","3.7073","3.7073","3.7073"
"2739","2738","2738","2738","3.6896","3.6896","3.6896"
"2751","2750","2750","2750","3.7064","3.7064","3.7064"
"2752","2751","2751","2751","3.6948","3.6948","3.6948"
